N, Insert, Lookup, Remove
398,7.355e-06,1.28e-07,3.663e-06
399,4.781e-06,1.24e-07,2.518e-06
400,6.281e-06,1.23e-07,1.367e-06
401,1.004e-05,1.23e-07,3.306e-06
402,7.152e-06,1.23e-07,2.354e-06
403,2.67e-06,1.24e-07,1.776e-06
404,7.961e-06,1.19e-07,2.556e-06
405,6.722e-06,1.25e-07,2.953e-06
406,8.961e-06,1.22e-07,3.326e-06
407,4.74e-06,1.2e-07,9.06e-07
408,9.458e-06,1.27e-07,4.05e-06
409,8.061e-06,1.2e-07,3.142e-06
410,4.348e-06,1.21e-07,2.098e-06
411,8.456e-06,1.22e-07,2.408e-06
412,7.699e-06,1.32e-07,2.139e-06
413,4.926e-06,1.17e-07,2.834e-06
414,1.329e-06,1.27e-07,9.12e-07
415,7.901e-06,1.17e-07,1.743e-06
416,5.312e-06,1.2e-07,2.521e-06
417,6.114e-06,1.2e-07,1.708e-06
418,8.661e-06,1.23e-07,1.611e-06
419,4.013e-06,1.23e-07,1.652e-06
420,8.245e-06,1.2e-07,4.532e-06
421,8.404e-06,1.26e-07,2.911e-06
422,7.714e-06,1.25e-07,2.907e-06
423,5.694e-06,1.23e-07,9.11e-07
424,7.209e-06,1.26e-07,3.746e-06
425,6.095e-06,1.23e-07,1.357e-06
426,9.372e-06,1.29e-07,3.034e-06
427,3.854e-06,1.17e-07,1.437e-06
428,8.12e-06,1.19e-07,3.373e-06
429,6.576e-06,1.29e-07,2.939e-06
430,1.0894e-05,1.23e-07,3.353e-06
431,4.841e-06,1.25e-07,1.645e-06
432,1.1025e-05,1.17e-07,5.263e-06
433,1.0303e-05,1.22e-07,4.164e-06
434,1.5947e-05,1.26e-07,3.213e-06
435,4.734e-06,1.2e-07,2.467e-06
436,7.162e-06,1.21e-07,1.322e-06
437,3.908e-06,1.17e-07,2.164e-06
438,8.518e-06,1.23e-07,3.004e-06
439,3.183e-06,1.2e-07,1.725e-06
440,9.681e-06,1.24e-07,2.909e-06
441,6.622e-06,1.23e-07,2.049e-06
442,7.112e-06,1.21e-07,2.419e-06
443,7.982e-06,1.2e-07,3.347e-06
444,6.26e-06,1.16e-07,2.496e-06
445,7.536e-06,1.28e-07,2.267e-06
446,5.252e-06,1.24e-07,1.371e-06
447,8.638e-06,1.17e-07,3.723e-06
448,1.0022e-05,1.19e-07,3.814e-06
449,6.146e-06,1.17e-07,3.495e-06
450,8.208e-06,1.2e-07,8.89e-07
451,9.771e-06,1.2e-07,4.66e-06
452,4.624e-06,1.18e-07,1.358e-06
453,7.406e-06,1.22e-07,2.106e-06
454,2.612e-06,1.18e-07,8.76e-07
455,4.779e-06,1.22e-07,2.575e-06
456,9.151e-06,1.22e-07,4.092e-06
457,1.0471e-05,1.22e-07,4.161e-06
458,5.224e-06,1.16e-07,2.515e-06
459,4.731e-06,1.24e-07,2.497e-06
460,8.798e-06,1.23e-07,4.005e-06
461,1.1818e-05,1.19e-07,2.941e-06
462,8.051e-06,1.2e-07,2.894e-06
463,5.188e-06,1.2e-07,2.151e-06
464,7.024e-06,1.19e-07,2.927e-06
465,7.056e-06,1.34e-07,2.788e-06
466,9.626e-06,1.19e-07,2.455e-06
467,8.561e-06,1.2e-07,8.01e-07
468,6.725e-06,1.25e-07,3.02e-06
469,7.256e-06,1.22e-07,2.886e-06
470,7.143e-06,1.21e-07,2.938e-06
471,6.163e-06,1.22e-07,3.361e-06
472,7.824e-06,1.17e-07,4.056e-06
473,9.35e-06,1.22e-07,2.105e-06
474,6.641e-06,1.19e-07,2.54e-06
475,1.0919e-05,1.28e-07,4.158e-06
476,7.733e-06,1.22e-07,3.373e-06
477,8.345e-06,1.28e-07,2.446e-06
478,6.976e-06,1.23e-07,2.983e-06
479,3.526e-06,1.23e-07,1.281e-06
480,5.836e-06,1.47e-07,2.528e-06
481,7.922e-06,1.32e-07,3.406e-06
482,3.042e-06,1.22e-07,1.223e-06
483,1.0063e-05,1.2e-07,3.309e-06
484,6.065e-06,1.2e-07,2.162e-06
485,7.16e-06,1.21e-07,2.146e-06
486,5.613e-06,1.17e-07,1.67e-06
487,8.742e-06,1.21e-07,4.966e-06
488,6.454e-06,1.43e-07,2.433e-06
489,5.773e-06,1.2e-07,2.946e-06
490,9.252e-06,1.26e-07,2.83e-06
491,6.751e-06,1.18e-07,3.001e-06
492,1.2066e-05,1.22e-07,3.714e-06
493,9.371e-06,1.25e-07,3.268e-06
494,1.0564e-05,1.37e-07,3.99e-06
495,1.5591e-05,1.29e-07,3.808e-06
496,1.0829e-05,1.27e-07,3.638e-06
497,5.666e-06,1.3e-07,2.253e-06
498,5.585e-06,1.33e-07,3.21e-06
499,9.042e-06,1.21e-07,2.964e-06
